Id,tweet,class
47.0,ين في مصر مابيحبش يرجع البيت يلاقي الغدا مكرونة وفراخ با,
48.0,يمت عيناك بليلى وغادر نبضك عالمى عيناك من,
49.0,بنا يحفظك من كل شر و يبارك في,
50.0,ل الايباد بمناسبة الامتحانات مامته بتقولوا ذاكر عاوزاك تاكل الكتاب اكل قالها هاتى كوباية ميه واعملى شاى علشان احبس ,
51.0,نا لله و إنا إليه راجعون طب ممكن لينك المكتب الحقو,
52.0, الدين في عرف الحر هم و مذلة و ,
53.0,ه والله حرقوا دمنا يلا بنحب مج,
54.0,ب من ربنا وهتقرب منك كل حاجة حلو,
55.0,اريت نكسف التصويت على رقم للصوت الدهب,
56.0,ن تانى اكيد راجعين انا دايب وكلى ,
57.0, يشوفها في الشارع ميشوفهاش ع الانستجر,
58.0, سنين اتفرجت ع مسلسل برغم اني بكره المسلسلات ان واحده تتعمي واللي بيحبها يروح يدرس مخصوص طب عيون علشان يعالجها ده قهره جماعيه يا ج,
59.0,فلح أن صدق والمقصودق,
60.0,عدة الصحاب في نص الاسبوع بتقرب اكتر من قاعدة اخر الأسب,
61.0,ذه الدنيا كتاب انت فيه الفكر من القائل ال,
62.0,وقتي جاي بتلعب على الي خبزك وعجن,
63.0,لخوف بألف نصل كل نصل ينغرس فى حلم قادم فتسود حالة نزف لكل الأحلام ويسود البحث عن ذرة أمان وآمنهم من خو,
64.0,اذ امير طعيمه اتصور سلفى مع شاهين ومينا بجوار كاس لقب ستار اكادم,
65.0,ت اخر واحد ف الدنيا ممكن شيرين تبكى عليه انت فاه,
66.0,بعا اهم من الكتابه والاحساس الاملاء الشيء لزوم الشي,
67.0,ك أر,
68.0,ى حد بعت هداي لشي,
69.0,تروول نادوا دعاء بق,
70.0,ت بائس من حياتى وحزين الساعه لكن دلوقتى متفأل ومبسوط فشخ سبحان مغير احو,
71.0,عي تستسهل ,
72.0,هو خلص الفيلم اللي كتبته علي عكس ما كنت انا بتمني دا انا كنت في حبك من الاول ابليس متعشم في الج,
73.0,ا من كتر الانشغال حاسس ان في وقت اجازتي كائن غريب في بيتي بتعرف علي الاسرة من اول وجد,
74.0, علي الجامعة و امتحانات الجام,
75.0,علا صح عندك حق الله يرحمك يا ا,
76.0,جى عليه يابن الاحبى بورده يسلم على كس ا,
77.0,بنا معاك ان شاء ال,
78.0,ام الليل صائبة المرامي اذا وترت باوتار الخشوع يسددها الى المرمى رجال يطيلون السجود مع الرك,
79.0,طعهم وقل لهم تبا لك,
80.0,,
81.0,ن نكون مفرغين ولا نحوي إلا الخواء حينها سوف نكون أقل شعورا بالأ,
82.0,نتي المفروض ثانوي ,
83.0,ا من يوم السبت هبدا مذاكر,
84.0,فكيرك في مح,
85.0,اح جديد على اهلي فى توي,
86.0,عا انتي سقعانين وانا كمان بس انا عرقان والسخونيه ديه بنت جز,
87.0,انت من اهل ميتين امه ي,
88.0,ت زمان بستنى سؤالك عني دلوقتي مبقاش يف,
89.0, سيبك انت انا مبسوط باللى حصل انهارده و امبارح محدش قالى عقبال,
90.0,بدالمنعم إبراهيم فتافيت سكر السينما المصري,
91.0,قوا بين الناس اللي بتحبكو و فارقين معاهم و بين اللي انتو بنسبه لهم ولا حا,
92.0,ا ع,
93.0,كلة ان انا لسه جعانة بج,
94.0,اعرنا المحترم يعنى اية العيون االممكنة اة تعنى كلمة ممكنة مش فاهمة حاجة ممكن ,
95.0, رب ع,
96.0,ا كل ما اعرف حد ابن ناس يطلع يا كان صايع وربنا هداه يأما ابن ناس وحد على افاه فا هيبقى صايع طب ليه كده ,
97.0,لا تصبحوا ع خ,
98.0,صلا مسلسل الشمال والجنوب ده بكرهه كله علي بعضه كفايوة فانزه الغ,
99.0,ن على بعد خطوات بسيطة من تحقيق حلم شاهين كلها يومين والحلم يتحقق تخيلوا الفرحه على وشوشهم يوم اعلان النتيجه بفوز شاهي,
100.0,حبش ابين اني مضايقة والله بس بيبان عليا و بقلب وشي من غير ق,
101.0,سبي الله ونعم الوكي,
102.0,نا الزمالك احنا ولا نسيتو,
103.0,بنا يهدي,
104.0,لبي نبضه صوت نب,
105.0,سمين حمدان لا مش أنا اللي اب,
106.0,ه شخصيات فى حياتى موجودة بس عشان تحرقلى د,
107.0,ستغفر الله العظ,
108.0,لو مراره عيشي في رضاال,
109.0,ون عليكي تهونى عليا يالا ف داهي,
110.0,تنجحي خلاص نامي و ضميرك مرت,
111.0,ايا امتحان ابن جزمة كمان خمس ساعات و مش ناق,
112.0,حمد ل,
113.0,ام مره حبيت صدفة و كام مره لعنته,
114.0,ثيرهہ هي آمآنينآ ف يآرب حقق مآ ترآه خيرا لنآويسعدن,
115.0,ث نايم وفرحنا اننا شوفناه بيضحك الاكاديمي هتخلص بكرة احنا فاضين دلوقتي ع التصويت بليزز ليث أبو جو,
116.0, شاء الله نصبح علي خي,
117.0,علام ابن ميتشين كل,
118.0,م طهر قلبي من كل ضيق ويسر لي أمري في كل طر,
119.0,ح ياحادي العيس وينك غايب مده اليوم لاعيس لاصحرا ولا حادي ماغير ذكرى تهز القلبوتهده واقول عادي وهو والله مهو عاد,
120.0,ت اول حب واخر حب هعيش وياه واللى بينى وبينك احساس اكبر من معن,
121.0,ه التييت بس احنا سرقنا صور كتيير هطلع عليهم النكد ك,
122.0,ره اللي ماخذينها عني رجعوها والمره اليايه لا تاخذون شي مو لكم عيب هالح,
123.0,ا فضلت متمسمره للدرجة دى انا مبحسش اسأله طلعت فى راسي وطفيت الاغانى وبعدين قولت طب وانا هعمل ايه وشغلت الاغانى ,
124.0,ا مبيسيبش حد سعي,
125.0,ا كدا خلاص آخري جاب آخره من,
126.0,اسم يوسف انت خول وامك عار,
127.0, انا لو غبيه كنت هرتاح المشكله اني بتغابي و لو بنسي هرتاح برضو المشكله اني بتناسي و مش بعرف اسامح كمان و مفرمله نفسي اني انت,
128.0,لمو,
129.0,انا من الناس يارب واشتقت الى بيتك الذي وضعته لنا فاللهم ارزقنا زيار,
130.0,مسكهم الاتنين و اخبطهم في حيطة و نبدأ على نض,
131.0,ا المفروض اروح الكليه بكره اللي هو النهارده الصبح يعني عشان ادفع المصاريف عشان مش هدخل الامتحان لو مدفعت,
132.0, ميخافش من ربنا خاف م,
133.0,نتي منين اصلا وعايشه,
134.0,ه لف,
135.0,ل المشكله بتواجهك فى مكان محدد ولا اى مكان وبالنسبه لخدمة ال ايه علامة التغطيه الخاصه بالانترنت اللى بتظهر ل,
136.0,هم تقبل منا ومنكم صالح الأعم,
137.0,كن حد يكرهك بمجرد انك محبوب لناس كت,
138.0,ل سنه وانتى طيبه يامديره واحه الاسلام وربنا ىزيدك نور ورفعه انتى والمنتدى بتاعك اتمنى لكم كل الخيرات واارفعه على الدو,
139.0,م بشرنا بشارة خير لم نتوقعها ولم نكن نحلم بها ورزقنا رزقا لم نسألك اياه ولم يخطر ببالنا وجنبا شرا انت اعلم به منا ياحي ياقي,
140.0,اصباح ال,
141.0,د قالك انك واحدة وسخة بلو,
142.0,ة دة هدفك يعني من القصة انك تعملي فتنة صح متخافيش فانز سلوم وفانز بسوم واحد وياما عدت اشكال زي دي ومأثرتش ,
143.0,كنت أزعم مثل الناس إذ زعموا بأن من غاب عني غاب عن بالي واليوم كذبني قلبي وكذبتهم فارقتهموأقاموا بين أوصا,
144.0,ان يرزقك خدمتها علي اكمل وجه ويكتب الله لك الثو,
145.0,ت بحب المذيعة دينا عصمت لما كانت على قناة النيل للأخبار و أون تي في للأسف مستواها نزل على سي بي سي إكسترا كانت قارئة نشرة ممتا,
146.0,ا خلاص قررت مش هذاكر حاجه غير ليلة الامتحان عشان كل مااذاكر حاجه انساها تاني كفايه تضييع وقت ف المذاكره بق,
147.0,ت واقفة في البلكونة بدري كدة فلقيت عامل النظافة منضف الشارع يادوب طلع لأول الشارع ورجع تاني قام منضف تاني ولا ه,
148.0,ونها يتالف فيها اشع,
149.0,حان الله وبحمد,
150.0,موهم في أعماق البحار حتي تشتت الأمواج أشلائه,
151.0,تارى المحاسبة غداره غدار,
152.0,لناس اللي عايشة عشان توجعك و ,
153.0,وءك لصلاة الليل وصلاة الفجر مع شعورك بالبرد هذه القشعريره كفيلة بنسف جبال الخطايا التي قد تحمله,
154.0,باح الورد يا عنتبلي بي,
155.0, هنا شغال في بن,
156.0,ه و الله تعبنا ف,
157.0,يى لس مكلمنى مصتقدش إنه لسه حى مم,
158.0,هة نظر بر,
159.0,بح الوضع يط,
160.0,ي أول تصريح له السبسي يطلب تفويضا من الشعب لمواجهة إرهاب محتمل واضح أن الكتلوج ,
161.0,لسير في طريق العلم الدعوة إلى الله بما معك من العلم إن لم تستطع فكن محبا للعلم وأهل,
162.0,كله ااي انها عايزه الواد بيها ال ساعه حتي وه,
163.0,ا ريت كلهم زيك يا بنتي وال,
164.0,احو,
165.0,هاجما لا يحتفلون بالمولد النبوي ويحتفلون بالكريسماس ماانت عايش في قطر من السينات لسه واخد بالك دلوق,
166.0,فيديو يهاجم لا يحتفلون بالمولد النبوي ويعتبرونه بدع,
167.0,يقك مسدود مسدود يا ولدى بصوت سعيد صا,
168.0,يب ياشرطة يامصرية في كتير اخوان في المصالح الحكومية وعاملين شغب والمديرين بتخاف منهم وبيعملوا فتن واج,
169.0, انا كنت ناسي والله ورجعني الحنين وتحت شباكك بيرميني الح,
170.0,نقلاب اية ربنا يقلب مصرانكم ان شاء ال,
171.0,ا يعنى صاحى على بليز كول مى وقولنا ماشى انما ملاقيش علبه السجاير احا بجد دا انا شارب منها سجارة واحده ,
172.0,ة ملهاش دعوة بنجاحك وفشلك والحقيقة انك فاشل عشان انت خول وعلق مش عشان انت سئ الحظ او قوانين الطبيعة والزمن بيتامروا عليك صانع الس,
173.0,ل رسول الله لاتقولواللمنافقسيدنافإنه إن يك سيدكم فقدأسخطتم ربكمعزوجل الصحي,
174.0, رب أمنحني قلب مبتسم يسعد ن حولي و آغمرھہ ب آلقوھہ و آصبر حتى لآ ضعف آمآم شيء سوآك صباح الخيرا,
175.0,تيجبي ملاحق يا هيد,
176.0,لثانوية دى بتنمى الغب,
177.0, تطلب من الله مالا تستطيع تأدية شكره أو تحمل عبئه والا فلما ءاتاهم من فضله بخلوا به فأعقبهم نفاقا في قلوبهم إلى يوم يلقو,
178.0, ينفع تكون متعاطف او مؤمن بفكرا او رآي او شخص او حزب او كيان الخ وتقارنه بشبيه ولكن متناقض مع الشئ دا لن تكون منصف بالمر,
179.0,سوف يعطيك ربك فترضى ألم يجدك يتيما فآوى ووجدك ضالا فهدىووجدك عائلا فأغ,
180.0,تراجع أمام الدولار للمزي,
181.0,تراجع باتجاه دولارا للبرميل في التعاملات الاسيوية للتفاصي,
182.0,سااءالخي,
183.0, بتجهيز ملعب كامل متكامل مع بأقل سعر وضمان سن,
184.0,اد المهندس و شويكا,
185.0,ديول منحس من او,
186.0,ك الحمد ربي عدد خلايا أجسادنا المتعافيه وعدد أيامنا التي لا نشكوا فيها وعدد نعمك التي لا نحصيه,
187.0,ظ الله مص,
188.0,را لأنك في حياتي شكرا لأنك حياتي صباح الح,
189.0,ل بالنسبالى اشبه بالم,
190.0,عيش يا جيش بلاد,
191.0,به كشرى وسط ب جنيه يعنى لو اربع افراد ب جنيه بلد مفيش متها ام,
192.0,ه دى حاله جمي,
193.0,ريد عمل اناسا,
194.0,بتسم في وجه من يكرهني فان لم أكسب محبته سأنجح في فقع مرارته وبش,
195.0,ما بقوا بيتكلموا مع بعض شكل دعاء اصلا متعرفش ايه اللى حصل وهى بره مشفتش حاج,
196.0,قب لا يليق الا بك يا شاه,
197.0,سطى تمام مفشوخ ف شوية امتحانات عملي و خرا اهم حاجه تكون مبسوط ياس,
198.0,له كدابين ما انا ميزان ا,
199.0,لسلام عليكم ورحمة الله وبركاته اه وسه شرفت بمتابع,
200.0,ا أحوه كس أم حسام وأخ,
201.0,,
202.0,ادة عبدالرازق تنشر صورتها باتحاد الطلبة وناشط مربية أجيال وأج,
203.0,د لله على نعمه المناخير الصغي,
204.0,ساب شيرين يحي,
205.0,اترة نفسى افهم انا شغال معاك من اول الترم و طالع عين اهلى تيجى بت اخر الترم تنزلك دمعتين تحطلها مشروع تقديره امتياز د,
206.0,بنا يخليهولك ويسع,
207.0,ه واكبر على رنووشتنا ربنا يكتر من لقاءتك يارنا اخنا مابنشبع منك ابدا وربنا يوفقك يارب وتكون البر مطربة فى الو,
208.0,ا نفسي مرة أجرب أكون ليك حد أقر,
209.0,ت موجود في خيالي اكتر مانت موجود في ال,
210.0,نها حبوب منع ا,
211.0, كنت ناوي اذاكر بس واضح ان مفيش نص,
212.0,,
213.0,ل سنه وليبيا بخ,
214.0, كفاية اسمك عجيب و كمان عامل الشكل د,
215.0,اسب يحاول الانتحار بإلقاء نفسه أمام المترو لعجز مليون جنيه بعهدت,
216.0, يوم هنعود دا بنا وعود وف غيابو اكيد لسة الامل موج,
217.0,ا عربى بيطلع عنيهم برد,
218.0,حك والضحكة تبقى ضحكيتين واتنين ف اتنين فى ا,
219.0,ه صح وال,
220.0,انت بالف خير ميرسى يا اح,
221.0,احلي تحيه لاولاد بلدي اجمد ناس المصريين وصحابهم اللبنانين طبعا حد هيسال وكنوزه مقلتش كنزه لان حسبتها كمصريه لانها بنتنا ,
222.0,ان بيبعتلك ويسال عليك بعد فترة لما يشوف رسالتك وميردش عليك معناه ان الشخص ده معرفه وسخه من الا,
223.0,س يا زملكاوي يا ع,
224.0,انز مينا ليه كل مسابقه فيها تصويت نايمين فيها صوتوا لمينا هنا بق,
225.0,وشتي ايه رايك ف صورتك مع فكتور نفس صور الحفله بس مش عارفه انتي بتبقي زعلانه كد,
226.0,كيل الأهلى مسعد عوض شريف عبدالفضيل سعد شريف حازم لؤى وائل غالى رزق السعيد سليمان تريزجيه مت,
227.0, كل واحد يخليه فحالة ,
228.0,مة الطريق كمان كان واقف واقفه طين و لسه داخل زايد اهويوم ل,
229.0,ريدو بيهرج وال,
230.0,من يونس ده رغاي فشخ وحورت,
231.0,عو قصر البارون بمليون جنيه وده تمن حته ارض في اوسخ حته في مصر قالك عصر مبارك سنه سبب الخراب اخرص ياع,
232.0,ل نانسي غدا فى جاردن سيتي فند,
233.0,رد توورس من شاهد الاعلان بالكامل من ,
234.0,صرنا انصرنا يارب انصرن,
235.0,كدب لما نتكلم عشان عارفين لو اتكلمنا جد هنفترق ب,
236.0,اغي اللي شغالة سا,
237.0,ا ده عشان عيونك حلوه فشافت الصور جمي,
238.0,سلام عليك ورحمة الله وبركاتة وجوول للاتحا,
239.0,تر يارب من أولها بركاتك يا ابن الفقري,
240.0, تسترجل يا ابن بت المرة الخول انت و,
241.0,قتش بعترف بكلمه انا اسف د,
242.0,اكس آلة تنبيهلكن فى مصر  آلة ازعاج ياريت ينزع من السيارات ولو لمدة ستة أشهر لان عدم وجوده بالسيارة يجبر قائدها على السير با,
243.0,ارب يا عالي انصر الغا,
244.0,يبى انا لك وبين يديك إدخلنى بين ضلوعك ضمنى بقوة اعتصر ضلوعى ونبضى يحضن نب,
245.0, غالي متطلعش دين أ,
246.0, قبلتي في صلاتي إذا وقفت أصل,
247.0, الرجاء من الاسيوطي من الإسماعيلي من وادي دجلة ودلوقتي من الاتحاد الأهلي مش فوق الجميع الأهلي فوق بتاع أندية الدو,
248.0,له وانا لة فاكر ماتش الكأس مع الرجاء اللى كسبانه بالعافيه قولت دة فا,
249.0,سم بالله نادي ابن وسخه كل ما يبقوا خسرانين ولا متعادلين الفرقه كلها تنط ف ال علشان تاخد ضربة جزاء حاجة ق,
250.0, يا اخ,
251.0,وير و الاخراج في الماتش بتاع الاهلي زفت ا,
252.0,ا استحمل أي حاجه بس حسام حسن ميكسبش الأه,
253.0, ولاد المحظوظه كوره زي دي تتلعب بالشكل ده وتيجي فى العارضه كسم الحظ وتترد بكوره زي دي وتطلع بره فى حظ فى الدنيا كد,
254.0,اجة وسخه هارميه فعلا لاني زه,
255.0,ئله ناظم بي,
256.0,هه التاني ل الاتحاد هه ,
257.0,ه المعلق إبن الكلاب د,
258.0,وء ,
259.0,ه وال,
260.0,ات الحن النش,
261.0,اا شريف حازم جاله شد قام حاسبله فا,
262.0,ه هي بعض الثوابت التي يجدر بنا التعلق بها في زمن الفتن والمحن والتقلبات فهي من قول الله وهي من وعد الله ولا يخلف الله الميع,
263.0,ره الأتحاد بكره,
264.0, مشينا بمدأ ربنا بيوقع الناس اللى شبه بعض أو بيكملوا بعض مش هلاقى حاجه من دول تتحط جنبى غير شبهى وهنطلع عين بعض ففاكس ما تعملش ك,
265.0, أريد المستحيل فقط اريدك انتى ثم قلبك ثم حضنك وكف,
266.0,لحمدلله الذى كشف عن مصر الغمة وأنقذها منذ هذه العص,
267.0,ا موجود يا شقيق,
268.0,مه خسر تريزيجيه هجوميا وكمان كفةئته دفاعيا قلي,
269.0,ا سآكنة ف ألآسك,
270.0, كان قلبى في مديحك يشتفي أو يكتفى بفصاحة البلغ,
271.0,ه يا عم جاريدوا حتشمت فينا ولاد ال البو,
272.0,ن ليها أسبابها كان ليا أسبابى كان للقدر أسباب كان نفسى أكمل آه كان نفسها جايز و أهو كل واحد س,
273.0,كفي تلعب بأعصا,
274.0,وحى الهى اشوفك داكتورة قد الدنيا زى ما بترفعى من روحى المعنوية قادر يا كريم ,
275.0,ي الاهلي خسر مفيش فاي,
276.0,شق الج,
277.0,ن الصراع الضمنى بين إشكاليات التواجد الحسى ف بد من اعطاء الفول,
278.0,نا عندى صداع رهييب ده اللى مبوظ مو,
279.0, مغلو,
280.0, أنت طيب و بخير يا ر,
281.0,يه كبيره للاتحاد بجد فريق حلو اوي وبيلعبوا كوره جمي,
282.0,لاتحاد سيد البلد لولولول,
283.0,نا مكناش بنتكلم عليهم ولا بنجيب سيرتهم سواء خسرانين او كسبانين مبيفرقوش معانا اصلا بس كلامهم ع الزمالك ال خلانا نتكلم عليهم وهما خسر,
284.0,عة على الحلوة والمرة ه,
285.0,ييه كده يا اخى يا اخى حرام عليك يا اخى بصوت عبد العزي,
286.0,د لله و يبقي هوا فرحتنا وحياتنا و مفيش مشكله لما يبقي ف يوم سبب حزنىبس دا ميمنعش انى فرحت كتير بسببه ع المره معاك ي,
287.0,و وقع لية ألف قوم,
288.0,ين الاوراق كنوز مخبئه لمن يبحث ,
289.0,لعها واخربها يامينو ف اخر يوم ولما ترجع هاتولع اكت,
290.0,م الاتفاقيات اللي عقدتها القيادة المصرية مع القيادة الصينية مبشر ويفتح الشهية لمصر الجديدة بعيدا عن المزايدات السياسية لبتوع الليبرالي,
291.0,لحلوة والمرة مع,
292.0,لاد مجيد سوري,
293.0,ش لوحدك شوف التلفونات والضحك بس ولا يهمنا الاهلى برضوا ف القلب وماتش ويتعوض باذن ال,
294.0,اتش بكره هيحدد كتير واعتقد اول اختبار بس لازم برضوا منزودش ف الفرحه او لا قدر الله لو حصل حاجه نقفش لازم نعرف ان فريقنا ماشي كو,
295.0,بارة ممتازة من حيث اللاعبين والمدربين والتكتيك والاثارة والجماهير وكان المباراة فى الدورى الانجليزى مجهود كبير للفر,
296.0,ي حد بيقول معلومه وغير بيها حياة ناس وهي غ,
297.0,صحيح تتوقع ايه فى البوكسينج دا,
298.0,بكة الي مش موجودة اساسا طول الي,
299.0,مكا اقابلكم ف مترو الجيزه او الشه,
300.0,كله ان العيب والتقصير مش مني هي اصلا المواد لا بتتفهم ولا بتتحف,
301.0,حنا الجيل اللي شايب وهو شب,
302.0,يما إسمك في الذكريات دا إنت كيان المعجزات دا إنت الحياا,
303.0,نتى زى النور فى طبق بن,
304.0,لا أي حاجة أدى التويتر اهه انا قايم اذاكر انا ايه اللي مخليني فتحت انا مش عندي امتحان بك,
305.0,اردة في بطولة جديدة هتدخل دولاب بطولات نادي الز,
306.0, الأهطل والأخت العبيطة اللى بتقول الزمالكاوية بيفرحو فى خسارة الأهلى اكتر ما بيفرحو عشان مكسب الزمالك نعم سيتك مين الاهلى ده اصل,
307.0, يوم أسود في تاريخنا لازم نرد القلم ده م,
308.0,انا وربنا عندى بااطن,
309.0,ايا يا جماعة أنتو لما بتصدقوا احاا مش كده والله كسم الاهلي ع الاتحاد ع الدوري المصري علي مصر علي الرياضة بشكل ع,
310.0,كاويه اللي بيزيطوا ان الاهلي اتغلب اتلموا بدل ما نردح وشكلكوا يبقي وحش اكتر ,
311.0,ئما نعرف نخدع أنفسنا بكلم,
312.0,م يا زمي,
313.0, جدعان لو سمحتوا مش كل واحد عنده ميتين ام عقده نفسيه يروح داخل شاتم حد علي اسك ما هو يا تتعالجوا يا تنتحروا والل,
314.0,ما ابتسام وعبدالسلام فين كلهم قاعدين بيحتفلو وهما مش قاعدين م,
315.0,ريفالفسادتسخير المنصب العام من أجل الحصول على مصلحة أو منفعة خاصة يحميه الاستبداد والقمع ويحميه الجهل والتخلف أذا آمنت العقوبة أسئ الا,
316.0,لعميد دبح الأهلي فاز فريق الاتحاد السكندري على نظيره الأهلي بنتيجة في مباراتهما اليوم باستاد القاهر,
317.0,ه مفهوم الر,
318.0,صدك على شاهين لا و الله هو يغنى كل الالوان مش متمسك بلون غنائى واحد الحمد لله لمع فى كل الالوان مغربى جزائرى فرينش ص,
319.0,ليه نكون مع نفسنا لما ممكن ان احنا نتجمع كلنا التفكير الفردي عمره ما جاب نتيجة كويسه في النهاي,
320.0,يس,
321.0,سعدك ياغا,
322.0,عة البديهه و حسن التصرف المتلازمه الانجح و الاكثر ابهارا بنسبا,
323.0,ا اللي من كتر ما اتقلي يا فاشل حاسيس اني فاشلت ب,
324.0,لموقف الواحد والكلمه الوحده والاعلام الصح مثال لاحلى حاجه ف الاعلام عندنا ربنا معا,
325.0,نا جيل اللى شاب و هو شبا,
326.0,ا مازكرتش بجنيه النهارده اع,
327.0,عان عين ابونا في الثانوية العامة ,
328.0,,
329.0,يري قريصمص أحبيب قلبي روح أفطر يل,
330.0,ل مانتي جنبي بلاقيكي تملي وش السعد عليا حبيبه قلبي ومعاكي ناقصني ا,
331.0,ا بايديه ولا كان بايدي,
332.0,ا بحب النوم أوى و بحب السرير و المخدة يااه انه لاحساس عظيم ها أنا قادمة يا سريرى تصبحوا على سعادة و خي,
333.0,كن نتعرف على بنو,
334.0,رار ل محمد م,
335.0,لعشق زين بس الهموم سبا,
336.0,تفرجوا على الفيديو وإقرأوا الكلام المكتوب تحته وقولولى انطباعكم عن,
337.0,كنترول انهاردة اخر يوم حرام على امك بقى عايزين نشوف دعاء السباعي و ليث ابو جودة ارحم امنا العي,
338.0,وة الوحدة أوى والهد,
339.0,ح يا عبدالسلام وراها اشمعنا دى يعنى هو الكنترول ده مستكتر علينا ننام يوم مبسوطي,
340.0,م ان الجمال نسبي بس ف جمال يخطف العقل قبل العي,
341.0, هنخسر حاجة اكي,
342.0, حاجة محزنة نوعا ما فع,
343.0,لح,
344.0,ل المشجع النظيف بتاع محمد نبي وعيسى نبي وموسى نبي ده ماينفعش كسم أي فرقة مابشجعهاش بالذات اللي معايا ف نفس المدينةاللي بتنافسني ع بطو,
345.0,قه ج,
346.0,يزة اطبطب على نفسي واقولها انتي تعبتي استحملتي كتير مع,
347.0,ه احلى حاجة ع الصبح انا بحب,
348.0,اقع التواصل الاجتماعي الها سلبيات والها ايجابيات الوعي وحسن الاستحدام هو اللى بيخلينا نستفيد منها ضمن الحدو,
349.0,ا مو محتاج من قلبك حنآن انا قبل احتاجك احتاج احتياج,
350.0, ياا يوونس السوشيل ميديا كلها بقت لكل حااجه والله وقصه غريبه انهم ممكن يوافقوا يفضحووا نفسه,
351.0,ربيت ع الم,
352.0,عمل اية بكرة ال هتفرج عل,
353.0,سم ريال مدريد ياع,
354.0,تاجين إعادة تأهيل شاملة لذكرياتنا و نفسيتنا قب,
355.0,لي سيد الدور,
356.0,ه فار بجد مش لعبة وعندي وباكله ,
357.0,لتمركز بتاع خط الضهر كله كان بليلة متقوليش هاني كان هايجبها ومتنساش أن في علق واقف جون ,
358.0,انها شرقية لا تستغرب إذا قتلها الحنين ولن تأت,
359.0,دش هيهتم لو رجعت البيت دلقت جاز على جسمك الهالك وولعت مليت الحوض اخدت منوم وغرق,
360.0,ين فينا مانفسوش انه ينفصل عن العالم كله ويبعد عن كل الناس اللى فى حياته ولو لفتره صغيره يرتاح فيها شوي,
361.0, بق,
362.0,نعمل ايه لما مينا يسافر احنا هنضيع من غي,
